,1,2,3,4,5,6,7,8,9,10,11,12
S279,3,2,2,3,3,2,2,2,3,2,1,2
S280,3,2,2,3,3,2,2,2,3,2,1,2
S281,3,2,2,3,3,2,2,2,3,2,1,2
S282,3,2,2,3,3,2,2,2,3,2,1,2
S283,3,2,2,3,3,2,2,2,3,2,1,2
S284,3,2,2,3,3,2,2,2,3,2,1,2
S285,3,2,2,3,3,2,2,2,3,2,1,2
S286,3,2,2,3,3,2,2,2,3,2,1,2
S287,3,2,2,3,3,2,2,2,3,2,1,2
S288,3,2,2,3,3,2,2,2,3,2,1,2
S289,3,2,2,3,3,2,2,2,3,2,1,2
S290,3,2,2,3,3,2,2,2,3,2,1,2
S291,3,2,2,3,3,2,2,2,3,2,1,2
S292,3,2,2,3,3,2,2,2,3,2,1,2
S293,3,2,2,3,3,2,2,2,3,2,1,2
S294,3,2,2,3,3,2,2,2,3,2,1,2
S295,3,2,2,3,3,2,2,2,3,2,1,2
S296,3,2,2,3,3,2,2,2,3,2,1,2
S297,3,2,2,3,3,2,2,2,3,2,1,2
S298,3,2,2,3,3,2,2,2,3,2,1,2
S299,3,2,2,3,3,2,2,2,3,2,1,2
S300,3,2,2,3,3,2,2,2,3,2,1,2
S301,3,2,2,3,3,2,2,2,3,2,1,2
S302,3,2,2,3,3,2,2,2,3,2,1,2
S303,3,2,2,3,3,2,2,2,3,2,1,2
S304,3,2,2,3,3,2,2,2,3,2,1,2
S305,3,2,2,3,3,2,2,2,3,2,1,2
S306,3,2,2,3,3,2,2,2,3,2,1,2
S307,3,2,2,3,3,2,2,2,3,2,1,2
S308,3,2,2,3,3,2,2,2,3,2,1,2
S309,3,2,2,3,3,2,2,2,3,2,1,2
S310,3,2,2,3,3,2,2,2,3,2,1,2
S311,3,2,2,3,3,2,2,2,3,2,1,2
S312,3,2,2,3,3,2,2,2,3,2,1,2
S313,3,2,2,3,3,2,2,2,3,2,1,2
S314,3,2,2,3,3,2,2,2,3,2,1,2
S315,3,2,2,3,3,2,2,2,3,2,1,2
S316,3,2,2,3,3,2,2,2,3,2,1,2
S317,3,2,2,3,3,2,2,2,3,2,1,2
S318,3,2,2,3,3,2,2,2,3,2,1,2
S319,3,2,2,3,3,2,2,2,3,2,1,2
S320,3,2,2,3,3,2,2,2,3,2,1,2
S321,3,2,2,3,3,2,2,2,3,2,1,2
S322,3,2,2,3,3,2,2,2,3,2,1,2
S323,3,2,2,3,3,2,2,2,3,2,1,2
S324,3,2,2,3,3,2,2,2,3,2,1,2
S325,3,2,2,3,3,2,2,2,3,2,1,2
S326,3,2,2,3,3,2,2,2,3,2,1,2
S327,3,2,2,3,3,2,2,2,3,2,1,2
S328,3,2,2,3,3,2,2,2,3,2,1,2
S329,3,2,2,3,3,2,2,2,3,2,1,2
S330,3,2,2,3,3,2,2,2,3,2,1,2
S331,3,2,2,3,3,2,2,2,3,2,1,2
S332,3,2,2,3,3,2,2,2,3,2,1,2
S333,3,2,2,3,3,2,2,2,3,2,1,2
S334,3,2,2,3,3,2,2,2,3,2,1,2
S335,3,2,2,3,3,2,2,2,3,2,1,2
S336,3,2,2,3,3,2,2,2,3,2,1,2
S337,3,2,2,3,3,2,2,2,3,2,1,2
S338,4,2,2,2,2,2,2,2,2,3,1,3
S339,4,2,2,2,2,2,2,2,2,3,1,3
S340,4,2,2,2,2,2,2,2,2,3,1,3
S341,4,2,2,2,2,2,2,2,2,3,1,3
S342,4,2,2,2,2,2,2,2,2,3,1,3
S343,4,2,2,2,2,2,2,2,2,3,1,3
S344,4,2,2,2,2,2,2,2,2,3,1,3
S345,4,2,2,2,2,2,2,2,2,3,1,3
S346,4,2,2,2,2,2,2,2,2,3,1,3
S347,4,2,2,2,2,2,2,2,2,3,1,3
S348,4,2,2,2,2,2,2,2,2,3,1,3
S349,4,2,2,2,2,2,2,2,2,3,1,3
S350,4,2,2,2,2,2,2,2,2,3,1,3
S351,4,2,2,2,2,2,2,2,2,3,1,3
S352,4,2,2,2,2,2,2,2,2,3,1,3
S353,4,2,2,2,2,2,2,2,2,3,1,3
S354,4,2,2,2,2,2,2,2,2,3,1,3
S355,4,2,2,2,2,2,2,2,2,3,1,3
S356,4,2,2,2,2,2,2,2,2,3,1,3
S357,4,2,2,2,2,2,2,2,2,3,1,3
S358,4,2,2,2,2,2,2,2,2,3,1,3
S359,4,2,2,2,2,2,2,2,2,3,1,3
S360,4,2,2,2,2,2,2,2,2,3,1,3
S361,4,2,2,2,2,2,2,2,2,3,1,3
S362,4,2,2,2,2,2,2,2,2,3,1,3
S363,4,2,2,2,2,2,2,2,2,3,1,3
S364,4,2,2,2,2,2,2,2,2,3,1,3
S365,4,2,2,2,2,2,2,2,2,3,1,3
S366,4,2,2,2,2,2,2,2,2,3,1,3
S367,4,2,2,2,2,2,2,2,2,3,1,3
S368,4,2,2,2,2,2,2,2,2,3,1,3
S369,4,2,2,2,2,2,2,2,2,3,1,3
S370,4,2,2,2,2,2,2,2,2,3,1,3
S371,4,2,2,2,2,2,2,2,2,3,1,3
S372,4,2,2,2,2,2,2,2,2,3,1,3
S373,4,2,2,2,2,2,2,2,2,3,1,3
S374,4,2,2,2,2,2,2,2,2,3,1,3
S375,4,2,2,2,2,2,2,2,2,3,1,3
S376,4,2,2,2,2,2,2,2,2,3,1,3
S377,4,2,2,2,2,2,2,2,2,3,1,3
S378,4,2,2,2,2,2,2,2,2,3,1,3
S379,4,2,2,2,2,2,2,2,2,3,1,3
S380,4,2,2,2,2,2,2,2,2,3,1,3
S381,4,2,2,2,2,2,2,2,2,3,1,3
S382,4,2,2,2,2,2,2,2,2,3,1,3
S383,4,2,2,2,2,2,2,2,2,3,1,3
S384,4,2,2,2,2,2,2,2,2,3,1,3
S385,4,2,2,2,2,2,2,2,2,3,1,3
S386,4,2,2,2,2,2,2,2,2,3,1,3
S387,4,2,2,2,2,2,2,2,2,3,1,3
S388,4,2,2,2,2,2,2,2,2,3,1,3
S389,4,2,2,2,2,2,2,2,2,3,1,3
S390,4,2,2,2,2,2,2,2,2,3,1,3
S391,4,2,2,2,2,2,2,2,2,3,1,3
S392,4,2,2,2,2,2,2,2,2,3,1,3
S393,4,2,2,2,2,2,2,2,2,3,1,3
S394,4,2,2,2,2,2,2,2,2,3,1,3
S395,4,2,2,2,2,2,2,2,2,3,1,3
S396,4,2,2,2,2,2,2,2,2,3,1,3
S397,4,2,2,2,2,2,2,2,2,3,1,3
S398,4,2,2,2,2,2,2,2,2,3,1,3
S399,4,2,2,2,2,2,2,2,2,3,1,3
S400,4,2,2,2,2,2,2,2,2,3,1,3
S401,4,2,2,2,2,2,2,2,2,3,1,3
S402,4,2,2,2,2,2,2,2,2,3,1,3
S403,4,2,2,2,2,2,2,2,2,3,1,3
S404,4,2,2,2,2,2,2,2,2,3,1,3
S405,4,2,2,2,2,2,2,2,2,3,1,3
S406,4,2,2,2,2,2,2,2,2,3,1,3
S407,4,2,2,2,2,2,2,2,2,3,1,3
S408,4,2,2,2,2,2,2,2,2,3,1,3
S409,4,2,2,2,2,2,2,2,2,3,1,3
S410,4,2,2,2,2,2,2,2,2,3,1,3
S411,4,2,2,2,2,2,2,2,2,3,1,3
S412,4,2,2,2,2,2,2,2,2,3,1,3
S413,4,2,2,2,2,2,2,2,2,3,1,3
S414,4,2,2,2,2,2,2,2,2,3,1,3
S415,4,2,2,2,2,2,2,2,2,3,1,3
S416,4,2,2,2,2,2,2,2,2,3,1,3
S417,4,2,2,2,2,2,2,2,2,3,1,3
S418,4,2,2,2,2,2,2,2,2,3,1,3
S419,4,2,2,2,2,2,2,2,2,3,1,3
S420,4,2,2,2,2,2,2,2,2,3,1,3
S421,4,2,2,2,2,2,2,2,2,3,1,3
S422,4,2,2,2,2,2,2,2,2,3,1,3
S423,4,2,2,2,2,2,2,2,2,3,1,3
S424,4,2,2,2,2,2,2,2,2,3,1,3
S425,4,2,2,2,2,2,2,2,2,3,1,3
S426,4,2,2,2,2,2,2,2,2,3,1,3
S427,4,2,2,2,2,2,2,2,2,3,1,3
S428,4,2,2,2,2,2,2,2,2,3,1,3
S429,5,2,2,2,2,3,2,2,2,4,2,4
S430,5,2,2,2,2,3,2,2,2,4,2,4
S431,5,2,2,2,2,3,2,2,2,4,2,4
S432,5,2,2,2,2,3,2,2,2,4,2,4
S433,5,2,2,2,2,3,2,2,2,4,2,4
S434,5,2,2,2,2,3,2,2,2,4,2,4
S435,5,2,2,2,2,3,2,2,2,4,2,4
S436,5,2,2,2,2,3,2,2,2,4,2,4
S437,5,2,2,2,2,3,2,2,2,4,2,4
S438,5,2,2,2,2,3,2,2,2,4,2,4
S439,5,2,2,2,2,3,2,2,2,4,2,4
S440,5,2,2,2,2,3,2,2,2,4,2,4
S441,5,2,2,2,2,3,2,2,2,4,2,4
S442,5,2,2,2,2,3,2,2,2,4,2,4
S443,5,2,2,2,2,3,2,2,2,4,2,4
S444,5,2,2,2,2,3,2,2,2,4,2,4
S445,5,2,2,2,2,3,2,2,2,4,2,4
S446,5,2,2,2,2,3,2,2,2,4,2,4
S447,5,2,2,2,2,3,2,2,2,4,2,4
S448,5,2,2,2,2,3,2,2,2,4,2,4
S449,5,2,2,2,2,3,2,2,2,4,2,4
S450,5,2,2,2,2,3,2,2,2,4,2,4
S451,5,2,2,2,2,3,2,2,2,4,2,4
S452,5,2,2,2,2,3,2,2,2,4,2,4
S453,5,2,2,2,2,3,2,2,2,4,2,4
S454,5,2,2,2,2,3,2,2,2,4,2,4
S455,5,2,2,2,2,3,2,2,2,4,2,4
S456,5,2,2,2,2,3,2,2,2,4,2,4
S457,5,2,2,2,2,3,2,2,2,4,2,4
S458,5,2,2,2,2,3,2,2,2,4,2,4
S459,5,2,2,2,2,3,2,2,2,4,2,4
S460,5,2,2,2,2,3,2,2,2,4,2,4
S461,5,2,2,2,2,3,2,2,2,4,2,4
S462,5,2,2,2,2,3,2,2,2,4,2,4
S463,5,2,2,2,2,3,2,2,2,4,2,4
S464,5,2,2,2,2,3,2,2,2,4,2,4
S465,5,2,2,2,2,3,2,2,2,4,2,4
S466,5,2,2,2,2,3,2,2,2,4,2,4
S467,5,2,2,2,2,3,2,2,2,4,2,4
S468,5,2,2,2,2,3,2,2,2,4,2,4
S469,5,2,2,2,2,3,2,2,2,4,2,4
S470,5,2,2,2,2,3,2,2,2,4,2,4
S471,5,2,2,2,2,3,2,2,2,4,2,4
S472,5,2,2,2,2,3,2,2,2,4,2,4
S473,5,2,2,2,2,3,2,2,2,4,2,4
S474,5,2,2,2,2,3,2,2,2,4,2,4
S475,5,2,2,2,2,3,2,2,2,4,2,4
S476,5,2,2,2,2,3,2,2,2,4,2,4
S477,5,2,2,2,2,3,2,2,2,4,2,4
S478,5,2,2,2,2,3,2,2,2,4,2,4
S479,5,2,2,2,2,3,2,2,2,4,2,4
S480,5,2,2,2,2,3,2,2,2,4,2,4
S481,5,2,2,2,2,3,2,2,2,4,2,4
S482,6,2,2,2,2,2,2,2,2,1,1,1
S483,6,2,2,2,2,2,2,2,2,1,1,1
S484,6,2,2,2,2,2,2,2,2,1,1,1
S485,6,2,2,2,2,2,2,2,2,1,1,1
S486,6,2,2,2,2,2,2,2,2,1,1,1
S487,6,2,2,2,2,2,2,2,2,1,1,1
S488,6,2,2,2,2,2,2,2,2,1,1,1
S489,6,2,2,2,2,2,2,2,2,1,1,1
S490,6,2,2,2,2,2,2,2,2,1,1,1
S491,6,2,2,2,2,2,2,2,2,1,1,1
S492,6,2,2,2,2,2,2,2,2,1,1,1
S493,6,2,2,2,2,2,2,2,2,1,1,1
S494,6,2,2,2,2,2,2,2,2,1,1,1
S495,6,2,2,2,2,2,2,2,2,1,1,1
S496,6,2,2,2,2,2,2,2,2,1,1,1
S497,6,2,2,2,2,2,2,2,2,1,1,1
S498,6,2,2,2,2,2,2,2,2,1,1,1
S499,6,2,2,2,2,2,2,2,2,1,1,1
S500,6,2,2,2,2,2,2,2,2,1,1,1
S501,6,2,2,2,2,2,2,2,2,1,1,1
S502,6,2,2,2,2,2,2,2,2,1,1,1
S503,6,2,2,2,2,2,2,2,2,1,1,1
S504,6,2,2,2,2,2,2,2,2,1,1,1
S505,6,2,2,2,2,2,2,2,2,1,1,1
S506,6,2,2,2,2,2,2,2,2,1,1,1
S507,6,2,2,2,2,2,2,2,2,1,1,1
S508,6,2,2,2,2,2,2,2,2,1,1,1
S509,6,2,2,2,2,2,2,2,2,1,1,1
S510,6,2,2,2,2,2,2,2,2,1,1,1
S511,6,2,2,2,2,2,2,2,2,1,1,1
S512,6,2,2,2,2,2,2,2,2,1,1,1
S513,6,2,2,2,2,2,2,2,2,1,1,1
S514,6,2,2,2,2,2,2,2,2,1,1,1
